unique_id,0,1,2,3,4
8983ee0c-8f56-4ee9-b95e-cf519be8c222,13.958485,3.9970362,9.127274,19.821814,-4.6876836
2c47d264-8b39-4167-beab-13a4a23ace20,15.545766,4.5790076,9.29872,21.357182,-4.7022953
8f2431b8-4d93-46a4-869e-0e1cedba10cc,15.61113,3.896236,9.666973,21.201138,-4.85541
83b7ffca-00fc-49c0-addc-670dfb2a1a78,15.651418,4.6051955,10.47513,21.763065,-4.878738
e839b5fd-1c10-4200-9efe-4d7a545a7b5d,14.9419565,4.5227804,8.983964,20.97581,-5.2643085
086a9aac-c2a0-4900-a9b8-e6e1bcfe1147,14.434103,4.3014235,10.475495,18.925184,-4.0133095
6d69ab6a-74fe-4d95-8887-1d7e5bf398c3,15.03529,5.3932376,8.655516,21.563116,-3.4165337
ec951647-150c-49ab-b58c-6577332d8f5a,12.857214,5.0200152,9.752402,19.51057,-4.6404834
994a8497-568b-4298-974e-87f1aeeeb4e4,13.802851,5.5285206,9.186212,19.805357,-4.9972463
6494d5e0-dd9b-42e3-874b-9755d564a5d5,12.903345,6.4511304,8.179064,20.625265,-3.7707574
4ef9f993-f8d6-4be5-8662-693f274a8c04,13.647928,4.7733636,8.849116,21.238598,-5.1294007
19cdafeb-6085-440f-8d5a-2d3990f38be0,13.436402,4.451888,9.426598,20.233429,-5.0714564
1d94f91f-2925-49ee-aa2f-f6478b51da6a,13.779429,3.1826587,8.700591,20.25769,-2.4037533
ec271d29-feb1-49e0-a1f5-3678bc924290,15.025727,3.5288115,9.534705,21.111961,-5.030455
bb856777-fbb0-4341-b442-b2d345593c4e,14.142934,3.6090276,9.277232,20.627542,-4.3783755
4e94398b-24fa-474a-8b02-9da9d3961b81,13.332884,5.448837,9.3684,21.103708,-3.9566176
6c82e77a-4047-4340-8292-d618d998627c,15.290671,5.230829,10.508303,21.281116,-3.908122
ed23967c-bcbc-40e6-8f37-8a6b539c2be6,14.293379,4.0290813,9.916865,19.612621,-3.2307127
22f6e135-549e-4084-8ced-4963b80dfe3a,15.299627,3.9009345,8.83281,21.044779,-4.8341208
5e00a11b-ab38-499a-9c7d-0ea715ece119,13.750633,3.0857708,9.310003,19.685637,-1.5478725
5644f7e7-91ba-4590-a36c-29db96de3f8e,13.078526,4.6497407,8.956085,21.370571,-4.1092315
0f465542-0257-4039-a08e-0998c71faa32,14.371242,5.9994035,8.284322,20.624083,-3.3099084
98f92f94-3faf-4481-8135-0e6ad1a36831,13.263388,5.081393,9.651542,19.664055,-3.220908
5c2ef5d6-0850-465c-8b45-e23c78107032,13.488096,4.7006373,8.546874,21.48423,-4.2193007
0b5f7481-fc63-44e9-9336-6504591967d0,14.019945,4.428047,10.108166,21.033749,-3.9748757
61609039-32da-47f4-a51e-0027df5688da,14.5151205,4.6331644,9.869534,20.174334,-2.517386
9ecdc71b-d20f-4bbe-a1cf-414ea96132a0,13.964535,5.1019735,9.138632,21.65458,-3.816248
c752b0d7-b4d3-486d-8671-8ca38f3875f4,15.021502,4.2410665,9.781299,20.078484,-3.7240212
f4e74897-b4e2-4bf3-8b57-1ea3c7874f32,15.135138,4.6819067,9.876329,21.611155,-5.9478693
3dd2fff9-bacf-4cbf-ba39-2fd6a0c4891d,14.144402,4.896657,9.980099,20.51786,-5.9119864
4d5e98ca-af7a-43dd-850c-830b1d47854e,13.344034,4.546726,8.631126,21.078972,-4.0898843
95b04783-1282-4501-ba17-a610edfaa17d,14.600777,5.427925,10.353152,20.650976,-2.2073226
8bc2141e-c4c7-408b-a354-95e937a78a77,13.860331,3.5813012,9.964739,20.68433,-4.2571254
705e0a11-f14d-4c5e-8548-05aa96266610,15.634891,3.9870107,10.239066,21.100176,-4.7866964
a5beed12-5ab2-4ff7-a985-15615da70318,13.523442,4.7579412,9.30162,19.509003,-5.113257
034c48ca-0a57-4d78-b3e8-78a801bbe22a,15.494567,3.5019424,10.356318,20.39242,-4.6875544
ca173ee1-fba0-45be-aa62-bc9607f6db68,14.584312,5.865086,8.408293,20.660788,-3.3599188
d33cb49a-9c9a-4131-b29f-f515e3cde77c,13.377738,4.393096,9.835014,18.650286,-4.5314913
fbb06181-f9dc-4590-a812-242f363d3076,15.100228,4.981784,8.370695,20.818237,-4.339109
6d9b5583-d756-4942-aebc-420473902208,14.237296,3.7980587,9.308974,20.813946,-4.9184318
74b63784-a7a1-41da-bde4-239d00482dd5,14.356691,6.216513,8.593832,20.415855,-3.525425
2b1b6927-becc-4677-9527-45e27c38f3a2,13.448465,5.7819705,8.112975,20.679047,-3.989105
92fba082-1ac7-4077-a7a3-b8550d13409e,14.028203,6.240786,10.717598,20.725378,-4.8359594
cda4a5ad-2999-443e-80f6-d2c147708c00,14.152608,6.0998726,10.5955925,20.846962,-4.799628
4b0aa2f8-b03a-4b20-89dd-ac95e673d49f,13.20345,3.0212128,8.811679,20.224365,-2.0689683
cf114753-b8fe-4c4b-a407-87c2c2697a89,13.273244,5.9135785,8.492668,20.687996,-3.6217833
d6d6b6f8-5833-452d-b54d-88ac48f4885d,14.137405,4.4339437,10.730696,18.705791,-3.45704
dffa8946-7be9-4675-92ca-e9f0251d24dd,13.893858,4.8901424,9.385614,20.45205,-3.784022
c27cfc7f-8f74-4882-b118-674e56201443,15.293604,4.1798453,9.758438,20.444773,-3.6084735
89e6a012-29e1-4881-9e9c-892e57d08254,14.634883,4.406379,8.776698,20.676996,-5.6329727
ea27bae8-21e4-49d2-a5b9-e7043233b957,13.780349,4.0754366,10.119281,19.461948,-3.8524206
f09f489f-3187-41a1-abcc-32322a8a2f49,13.678461,4.296826,8.650412,20.584957,-5.1075745
7a355c07-1a5e-429d-8dc7-2df11d537f59,14.208953,4.2263284,9.51823,20.811163,-4.023398
5f740a4f-604f-4e41-9f0d-2086e3cac3fa,15.505603,3.6230578,10.401522,20.573664,-4.7062497
379b5e55-44cc-4fb2-8726-df75b26b6538,12.922494,4.5782,8.536741,20.668432,-4.902592
239047b2-1aa6-43c2-bcb2-6361734c628a,13.286225,4.263835,9.654438,20.009567,-2.3234293
36e8b7bf-9e70-4c01-aa0e-bad011172541,13.946584,6.1607804,10.738683,20.636105,-4.6380844
4b957c07-369f-4105-867a-307fd9c80273,14.066427,5.060804,11.154883,19.5481,-4.484221
e2b52649-1387-4c2d-ab45-37360b8f06bf,14.237047,5.9018545,8.169566,20.730652,-3.3908732
b852e83b-5b68-4c30-8a1d-ab4e6243cfcd,14.408558,5.326139,9.539319,20.197792,-4.742781
4ec9f593-dafa-4aef-a6f2-f9300835b034,13.74598,5.4214487,8.856668,20.091236,-4.937876
bcb1c3b0-4416-4b2b-a1b5-f6fb542b4f02,13.686782,4.1258984,9.456894,20.266024,-4.990329
c91e687f-6705-4e34-8296-d3d2c14e76df,13.81898,3.2223969,9.113734,20.08198,-2.7842805
4ce9d980-70de-42ba-a634-cfff4fe152f7,14.937585,5.094797,10.279959,20.674051,-4.981319
322d6673-d16c-4709-9a4e-10411752002c,13.709269,5.4611583,9.615554,19.652609,-4.914819
dc683829-7e1a-4bce-bfc8-abbe568ae592,14.205081,4.734907,9.091925,20.549318,-5.527978
1dc14e2d-9206-451d-9f77-0fd7797e8e59,13.734105,3.1205459,9.267421,19.755283,-1.5178175
56105b91-f7c6-47ca-a7e6-f220b2efd551,13.827799,5.985187,10.408144,20.635681,-4.6248918
469a3d3c-a2dd-4b68-9bb7-70f861763a19,15.112312,5.0708466,9.033356,21.416107,-3.9494295
